location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,Single dose actual,2079,76566.4986,57981.9990,92994.0505
bangladesh,Single dose actual,2080,78994.3415,59919.1621,96326.5845
bangladesh,Single dose actual,2081,81319.9595,61708.0989,99331.9985
bangladesh,Single dose actual,2082,83466.6837,63328.3645,102245.4100
bangladesh,Single dose actual,2083,85715.6329,65204.1926,104862.3692
bangladesh,Single dose actual,2084,87913.4697,66727.3445,107484.4395
bangladesh,Single dose actual,2085,90085.7502,68301.6089,110004.2849
bangladesh,Single dose actual,2086,92028.0244,69518.0859,112626.3553
bangladesh,Single dose actual,2087,93765.8488,70836.7878,114675.9658
bangladesh,Single dose actual,2088,95452.5606,71910.1498,116822.6900
bangladesh,Single dose actual,2089,97088.1600,73269.7418,118764.9643
bangladesh,Single dose actual,2090,98544.8657,74271.5464,120620.3474
bangladesh,Single dose actual,2091,99950.4589,75396.0209,122312.1705
bangladesh,Single dose actual,2092,101228.2708,76259.8218,123799.5437
bangladesh,Single dose actual,2093,102352.7454,77026.5089,125338.0293
bangladesh,Single dose actual,2094,103502.7761,77874.9761,126733.4000
bangladesh,Single dose actual,2095,104422.8007,78529.2158,127914.0983
bangladesh,Single dose actual,2096,105317.2691,79091.4530,129345.2477
bangladesh,Single dose actual,2097,106211.7374,79602.5778,130638.3934
bangladesh,Single dose actual,2098,107080.6495,80052.3676,131660.6429
bangladesh,Single dose actual,2099,107796.2242,80609.4935,132534.6663
bangladesh,Single dose actual,2100,108307.3490,80967.2809,133311.5760
bangladesh,Single dose actual,2101,108869.5862,81325.0682,134032.2619
bangladesh,Single dose actual,2102,109406.2672,81677.7443,134758.0591
bangladesh,Single dose actual,2103,109942.9482,81979.3079,135427.6325
bangladesh,Single dose actual,2104,110351.8480,82234.8703,135948.9798
bangladesh,Single dose actual,2105,110658.5229,82383.0965,136511.2170
bangladesh,Single dose actual,2106,110965.1978,82531.3227,136920.1168
bangladesh,Single dose actual,2107,111220.7601,82628.4364,137283.0154
bangladesh,Single dose actual,2108,111374.0976,82725.5501,137543.6891
bangladesh,Single dose actual,2109,111501.8788,82776.6626,137748.1390
bangladesh,Single dose actual,2110,111578.5475,82776.6626,137952.5889
bangladesh,Single dose actual,2111,111629.6600,82776.6626,138059.9251
bangladesh,Single dose actual,2112,111680.7724,82776.6626,138213.2625
bangladesh,Single dose actual,2113,111680.7724,82776.6626,138264.3750
bangladesh,Single dose actual,2114,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2115,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2116,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2117,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2118,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2119,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2120,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2121,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2122,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2123,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2124,111680.7724,82776.6626,138315.4875
bangladesh,Single dose actual,2125,111680.7724,82776.6626,138315.4875
bangladesh,Double dose,2024,0.0000,0.0000,0.0000
bangladesh,Double dose,2025,0.0000,0.0000,0.0000
bangladesh,Double dose,2026,0.0000,0.0000,0.0000
bangladesh,Double dose,2027,0.0000,0.0000,0.0000
bangladesh,Double dose,2028,0.0000,0.0000,0.0000
bangladesh,Double dose,2029,0.0000,0.0000,0.0000
bangladesh,Double dose,2030,0.0000,0.0000,0.0000
bangladesh,Double dose,2031,0.0000,0.0000,0.0000
bangladesh,Double dose,2032,0.0000,0.0000,5.1112
bangladesh,Double dose,2033,0.0000,0.0000,10.2225
bangladesh,Double dose,2034,0.0000,0.0000,66.4462
bangladesh,Double dose,2035,25.5562,0.0000,173.7824
bangladesh,Double dose,2036,51.1125,0.0000,276.0074
bangladesh,Double dose,2037,102.2250,0.0000,383.3436
bangladesh,Double dose,2038,153.3374,0.0000,536.6810
bangladesh,Double dose,2039,281.1186,51.1125,746.2422
bangladesh,Double dose,2040,434.4560,97.1137,1058.0283
bangladesh,Double dose,2041,613.3497,148.2262,1369.8144
bangladesh,Double dose,2042,817.7996,250.4511,1880.9391
bangladesh,Double dose,2043,1073.3620,403.7886,2289.8389
bangladesh,Double dose,2044,1482.2618,654.2397,2806.0750
bangladesh,Double dose,2045,1865.6054,858.6896,3480.7597
bangladesh,Double dose,2046,2376.7302,1160.2532,4206.5569
bangladesh,Double dose,2047,2990.0799,1610.0430,5080.5802
bangladesh,Double dose,2048,3833.4358,2064.9441,6164.1648
